model name,DES370K Dimers E RMSE (ev),DES370K Dimers F RMSE (ev/Å),DES370K Dimers Avg Mol. Size,PubChem E RMSE (ev),PubChem F RMSE (ev/Å),PubChem Avg Mol. Size,DES370K Monomers E RMSE (ev),DES370K Monomers F RMSE (ev/Å),DES370K Monomers Avg Mol. Size,Dipeptides E RMSE (ev),Dipeptides F RMSE (ev/Å),Dipeptides Avg Mol. Size
MACE-OFF medium (100),0.0006351386937590066,0.006504810429469553,13.96,0.0012935127760268653,0.01151069550664095,37.14492753623188,0.0008294345028361824,0.003978871859358586,10.5,0.0004887118306615256,0.0051906664972678155,40.5
../../mace_training_data/300_20_f90_GPU0 (100),0.0007813864725271483,0.0077738876040091285,13.96,0.0008158848437191376,0.012580216338104903,37.14492753623188,0.00038020875520576787,0.004364807877640763,10.5,0.0007833214672676286,0.004483508408813123,40.5
